File	Dataset	Nr	Version	Feet	Inch	Meters	Pixel X	Pixel Y	Pixel Dist	Average	Diff	Ratio
gates_0.jpg	Gates	0	A	60	0	18.288	446	112	459.8478009	461.1970074	2.698412999	0.03976968
gates_0.jpg	Gates	0	B	60	0	18.288	450	107	462.5462139	461.1970074	2.698412999	0.039537671
gates_1.jpg	Gates	1	A	28	1	8.5598	227	0	227	225	4	0.03770837
gates_1.jpg	Gates	1	B	28	1	8.5598	223	0	223	225	4	0.038384753
gates_2.jpg	Gates	2	A	28	6	8.6868	74	221	233.0600781	233.2219411	0.323725974	0.037272793
gates_2.jpg	Gates	2	B	28	6	8.6868	72	222	233.3838041	233.2219411	0.323725974	0.037221092
gates_3.jpg	Gates	3	A	28	1	8.5598	0	248	248	247	2	0.034515323
gates_3.jpg	Gates	3	B	28	1	8.5598	0	246	246	247	2	0.034795935
gates_4.jpg	Gates	4	A	28	1	8.5598	194	0	194	192	4	0.04412268
gates_4.jpg	Gates	4	B	28	1	8.5598	190	0	190	192	4	0.045051579
gates_5.jpg	Gates	5	A	28	1	8.5598	0	250	250	248	4	0.0342392
gates_5.jpg	Gates	5	B	28	1	8.5598	0	246	246	248	4	0.034795935
gates_6.jpg	Gates	6	A	28	1	8.5598	0	250	250	248	4	0.0342392
gates_6.jpg	Gates	6	B	28	1	8.5598	0	246	246	248	4	0.034795935
gates_7.jpg	Gates	7	A	28	6	8.6868	59	182	191.324332	193.3811508	4.113637739	0.04540353
gates_7.jpg	Gates	7	B	28	6	8.6868	60	186	195.4379697	193.3811508	4.113637739	0.044447862
gates_8.jpg	Gates	8	A	60	0	18.288	390	108	404.6776495	404.6362543	0.082790407	0.045191525
gates_8.jpg	Gates	8	B	60	0	18.288	391	104	404.5948591	404.6362543	0.082790407	0.045200772
hyang_0.jpg	Hyang	0	A	18	7	5.6642	163	0	163	162.5	1	0.034749693
hyang_0.jpg	Hyang	0	B	18	7	5.6642	162	0	162	162.5	1	0.034964198
hyang_1.jpg	Hyang	1	A	18	7	5.6642	0	125	125	124	2	0.0453136
hyang_1.jpg	Hyang	1	B	18	7	5.6642	0	123	123	124	2	0.046050407
hyang_2.jpg	Hyang	2	A	18	7	5.6642	103	0	103	103	0	0.054992233
hyang_2.jpg	Hyang	2	B	18	7	5.6642	103	0	103	103	0	0.054992233
hyang_3.jpg	Hyang	3	A	18	7	5.6642	100	0	100	98.5	3	0.056642
hyang_3.jpg	Hyang	3	B	18	7	5.6642	97	0	97	98.5	3	0.058393814
