frame,id,x,y,type
128,5,18.710326055851,4.05681037464356,ped
129,5,18.7166984711593,4.0789824277153395,ped
130,5,18.7215205642012,4.10962446582434,ped
131,5,18.7275896251403,4.12432445195711,ped
132,5,18.728000761030398,4.15956277031724,ped
133,5,18.7318644388883,4.17828673783392,ped
134,5,18.7308324610655,4.19218727538498,ped
135,5,18.736887484305,4.21547893844937,ped
136,5,18.7375842125772,4.24999219848602,ped
137,5,18.743714899335803,4.2666545658895,ped
138,5,18.7238610720776,4.28410469970748,ped
139,5,18.734764258372397,4.31234307620779,ped
140,5,18.7286525113673,4.33079100079791,ped
141,5,18.719344975421,4.349362304352891,ped
142,5,18.729933920967397,4.38330129196818,ped
143,5,18.7053754589698,4.40144548021082,ped
144,5,18.7073454479734,4.42616201752817,ped
145,5,18.700936362756,4.438429630022769,ped
146,5,18.6910642948329,4.48190387626617,ped
147,5,18.6870667336092,4.49516558707679,ped
148,5,18.664877587012104,4.50926058337305,ped
149,5,18.6560643627132,4.540838468119611,ped
150,5,18.650345894116498,4.55050149846212,ped
151,5,18.6303730169799,4.58774208298536,ped
152,5,18.6223591139367,4.612522060518651,ped
153,5,18.6275906876297,4.62909074776382,ped
154,5,18.618643229818197,4.65759905553918,ped
155,5,18.6241009346172,4.67184327799316,ped
156,5,18.6290652190512,4.70464941370423,ped
157,5,18.6190359989223,4.719154399955991,ped
158,5,18.620986761688897,4.72862863756356,ped
159,5,18.6159172422554,4.73041460855993,ped
160,5,18.616760650163897,4.75268801318593,ped
161,5,18.620633400004397,4.77375793176863,ped
162,5,18.6276903202819,4.781079180974009,ped
163,5,18.615857048854302,4.80387121652741,ped
164,5,18.6170682699566,4.81931927517138,ped
165,5,18.6238945390526,4.8466107594973,ped
166,5,18.637122858600602,4.865099937735111,ped
167,5,18.6393862068766,4.8777867076624695,ped
168,5,18.644780503291198,4.8940489528811195,ped
169,5,18.641903538837102,4.93331675947781,ped
170,5,18.651559948223802,4.95854820343493,ped
171,5,18.664465718997,4.973866548641889,ped
172,5,18.6754361334585,4.99906234129852,ped
173,5,18.6756887483876,5.03927242449947,ped
174,5,18.685516284016604,5.07132396223809,ped
175,5,18.6975851723425,5.10644564991523,ped
176,5,18.7180608283104,5.13587573479707,ped
177,5,18.7325698889965,5.16370259342901,ped
178,5,18.740336174659,5.18774691274323,ped
179,5,18.7541623537833,5.23103771394676,ped
180,5,18.764920897659103,5.24824812460054,ped
181,5,18.7710019909121,5.277995569719669,ped
182,5,18.7843013584089,5.30651565515681,ped
183,5,18.786122630559,5.357891216363281,ped
184,5,18.785248664393002,5.36636654909557,ped
185,5,18.7922175705225,5.4097225412485495,ped
186,5,18.7907371821017,5.42958887829341,ped
187,5,18.8031166505515,5.45818736476007,ped
188,5,18.810088007707897,5.50892018394935,ped
189,5,18.8051946120651,5.542645295593281,ped
190,5,18.81822872752,5.58485236092531,ped
191,5,18.817086262497302,5.63947839762138,ped
192,5,18.817347026295,5.6875974671813,ped
193,5,18.8123167232921,5.73043291851578,ped
194,5,18.792193092085,5.76418756980868,ped
195,5,18.785018013211502,5.8149173331721995,ped
196,5,18.787994801306898,5.871631517467709,ped
197,5,18.7787112026624,5.925831680280661,ped
198,5,18.746997842974,5.962412461092909,ped
199,5,18.7512291430365,6.02089943813623,ped
200,5,18.7529730009342,6.07014407018268,ped
201,5,18.757279678032,6.116265139002941,ped
202,5,18.7755168461395,6.15129712546155,ped
203,5,18.7571187378755,6.19928021077536,ped
204,5,18.7782231936556,6.23777613488518,ped
205,5,18.7676244440016,6.258977804122059,ped
206,5,18.784969310988604,6.32061635612767,ped
207,5,18.794904819127602,6.38046470354497,ped
208,5,18.792635359200002,6.40040600381539,ped
209,5,18.8044675165245,6.47232690018324,ped
210,5,18.8200481534421,6.53791663489043,ped
211,5,18.831617509751602,6.587868181294941,ped
212,5,18.8391592877157,6.64628283712872,ped
213,5,18.848199534402898,6.69301421164904,ped
214,5,18.848491747740802,6.73797540360605,ped
215,5,18.8724738682683,6.80319385548398,ped
216,5,18.885687258834103,6.85403464718328,ped
217,5,18.8921880188242,6.892204457388281,ped
218,5,18.8908291949717,6.94616524718372,ped
219,5,18.894251719817603,6.97923641211602,ped
220,5,18.8781173736395,7.03745874191633,ped
221,5,18.8830551742503,7.09385788967538,ped
222,5,18.890497128573,7.134392909014981,ped
223,5,18.8993040183997,7.19578139261294,ped
224,5,18.8928093700611,7.242772353164869,ped
225,5,18.8800441672727,7.30501646797431,ped
226,5,18.8700373565327,7.352686840452501,ped
227,5,18.8644166743602,7.4076585992686494,ped
228,5,18.8421478534728,7.46201715571658,ped
229,5,18.8320677029147,7.499916525342241,ped
230,5,18.8274309966353,7.558915353199559,ped
231,5,18.8144233650037,7.61665365293284,ped
232,5,18.8250372664604,7.654379859099031,ped
233,5,18.8225538987299,7.713204504888309,ped
234,5,18.805555358661803,7.74575516083362,ped
235,5,18.8005499160747,7.79786513882995,ped
236,5,18.803149405183802,7.8391019794846795,ped
237,5,18.7997716991157,7.89905626219482,ped
238,5,18.798469917343898,7.9430204273361396,ped
239,5,18.7983823170056,7.9971166920734,ped
240,5,18.7878478670185,8.03635094824983,ped
241,5,18.7937394990747,8.09372305819676,ped
242,5,18.763195502042,8.1614075614592,ped
243,5,18.7776373345615,8.2044773882628,ped
244,5,18.7796215840853,8.26613834965728,ped
245,5,18.778708910793103,8.31693992492605,ped
246,5,18.7764150042594,8.370941968369191,ped
247,5,18.783622678607603,8.42243517886724,ped
248,5,18.7870329801505,8.477973793361,ped
