,timestamp,x,y
0,0.0,0.75178,-4.199
1,0.02,0.75123,-4.20014
2,0.04,0.75048,-4.20118
3,0.06,0.74909,-4.20333
4,0.08,0.74826,-4.20497
5,0.1,0.74796,-4.20521
6,0.12,0.74667,-4.20764
7,0.14,0.74559,-4.20966
8,0.16,0.74539,-4.21012
9,0.18,0.74528,-4.21042
10,0.2,0.74562,-4.20948
11,0.22,0.74489,-4.21086
12,0.24,0.7443,-4.21198
13,0.26,0.74315,-4.21404
14,0.28,0.74255,-4.21472
15,0.3,0.74174,-4.21621
16,0.32,0.74043,-4.21858
17,0.34,0.73935,-4.22051
18,0.36,0.73918,-4.22087
19,0.38,0.73873,-4.22214
20,0.4,0.74018,-4.22349
21,0.42,0.74182,-4.22353
22,0.44,0.74328,-4.22343
23,0.46,0.74454,-4.22324
24,0.48,0.74741,-4.22336
25,0.5,0.74946,-4.22447
26,0.52,0.75185,-4.22417
27,0.54,0.75523,-4.22054
28,0.56,0.75732,-4.21946
29,0.58,0.759,-4.21852
30,0.6,0.7603,-4.2177
31,0.62,0.76059,-4.21819
32,0.64,0.76002,-4.21981
33,0.66,0.76008,-4.22004
34,0.68,0.76036,-4.21921
35,0.7,0.76017,-4.21949
36,0.72,0.76026,-4.21873
37,0.74,0.75957,-4.21925
38,0.76,0.75998,-4.21743
39,0.78,0.75961,-4.21704
40,0.8,0.75923,-4.21673
41,0.82,0.75887,-4.21649
42,0.84,0.75852,-4.21631
43,0.86,0.75854,-4.21517
44,0.88,0.7582,-4.21523
45,0.9,0.75857,-4.21412
46,0.92,0.75888,-4.2132
47,0.94,0.75913,-4.21245
48,0.96,0.75933,-4.21186
49,0.98,0.7588,-4.21259
50,1.0,0.75758,-4.21069
51,1.02,0.75618,-4.2101
52,1.04,0.75429,-4.21083
53,1.06,0.75373,-4.20933
54,1.08,0.75294,-4.20909
55,1.1,0.75266,-4.20794
56,1.12,0.75281,-4.20599
57,1.14,0.75265,-4.20539
58,1.16,0.75219,-4.20596
59,1.18,0.75185,-4.20652
60,1.2,0.75227,-4.20588
61,1.22,0.75375,-4.20309
62,1.24,0.7554,-4.19974
63,1.26,0.75648,-4.19795
64,1.28,0.75567,-4.19604
65,1.3,0.75775,-4.19271
66,1.32,0.76022,-4.1888
67,1.34,0.76229,-4.1856
68,1.36,0.76264,-4.18154
69,1.38,0.76319,-4.17809
70,1.4,0.76358,-4.17537
71,1.42,0.76207,-4.1729
72,1.44,0.76138,-4.16985
73,1.46,0.75971,-4.1697
74,1.48,0.75751,-4.16725
75,1.5,0.75594,-4.16524
76,1.52,0.75462,-4.16376
77,1.54,0.75392,-4.16161
78,1.56,0.75377,-4.15886
79,1.58,0.75084,-4.15865
80,1.6,0.74837,-4.15871
81,1.62,0.74496,-4.16133
82,1.64,0.74179,-4.16481
83,1.66,0.73818,-4.16924
84,1.68,0.73386,-4.17549
85,1.7,0.73102,-4.17971
