frame,id,x_c,y_c,x_1,y_1,x_2,y_2,type
148,1,28.322518923468397,7.9001347525562,28.085888739441103,7.87891848502879,28.5591491074957,7.921351020083599,veh
149,1,28.270811093860804,7.906039261919639,28.0341555827226,7.88416778203333,28.507466604999,7.92791074180596,veh
150,1,28.190224279323896,7.887899098646249,27.953729848611,7.86549536952443,28.426718710036898,7.91030282776806,veh
151,1,28.128965089654898,7.877785476722809,27.89178277461,7.85324869832124,28.366147404699696,7.902322255124379,veh
152,1,28.072587953882298,7.87865001765328,27.8389656175452,7.856599981635151,28.306210290219497,7.90070005367142,veh
153,1,28.0107482668315,7.86692039941906,27.7722773083842,7.84371177471293,28.249219225278804,7.89012902412518,veh
154,1,27.9414841904923,7.863013059385411,27.706799635124103,7.83797543736584,28.1761687458605,7.88805068140497,veh
155,1,27.8769851567973,7.8535117203679095,27.6418041900555,7.83099680522925,28.112166123538998,7.87602663550656,veh
156,1,27.830570186825,7.85756735063586,27.5944759244643,7.833670841597769,28.0666644491857,7.881463859673951,veh
157,1,27.7770165173753,7.85239656767511,27.536353244208698,7.83136860721722,28.017679790541802,7.873424528132991,veh
158,1,27.7138284149403,7.843458250332849,27.475789030462604,7.820595467326031,27.951867799417897,7.86632103333968,veh
159,1,27.653206961923598,7.83627636813131,27.414313040724302,7.815732915304889,27.892100883122897,7.856819820957731,veh
160,1,27.5864943387361,7.83250731412316,27.3471597258072,7.809826886314791,27.825828951665002,7.85518774193152,veh
161,1,27.526768958903,7.83813487152894,27.2910672667612,7.8169924325298,27.762470651044804,7.85927731052808,veh
162,1,27.469945559436496,7.840024400637421,27.233285995960497,7.82121395537413,27.706605122912396,7.858834845900709,veh
163,1,27.407756864797502,7.83438797874282,27.1709265965941,7.8126186937489805,27.644587133000897,7.85615726373667,veh
164,1,27.3573782019698,7.82612855460816,27.119977567229,7.8014084079237,27.5947788367106,7.85084870129263,veh
165,1,27.2973144519351,7.82373336973062,27.059000015033103,7.80084133391071,27.535628888837,7.846625405550539,veh
166,1,27.2534975369986,7.81289551907108,27.018431048798103,7.79123754672963,27.488564025199103,7.83455349141254,veh
167,1,27.1875837308889,7.806765978327321,26.948191878689297,7.782246422361161,27.4269755830884,7.83128553429348,veh
168,1,27.122697192397105,7.80349650158161,26.886961055384496,7.77959239441025,27.3584333294098,7.82740060875297,veh
